Address,Name,Size,Length,SCR,Description,Category,Docs
004FF900,Filename for Lastreplay,12,1,,"Contains the string ""LastReplay"".  How to trans...",Game,Event
004FF90C,Replay Speed Limiters,4,7,,The speed in milliseconds to spend each frame during a repl...,Game,Time
004FF928,Replay Command Table,16,2,,"Contains the replay commands ""show"" and ""hid...",Game,Event
004FF948,Replay show command modifiers,32,12,,Contains sub-commands and leaderboard values to use in the ...,Game,Event
004FFAD0,Menu Info Array,12,27,,"Contains the menu index, background index, and menu path.",Client,UI
004FFC20,Campaign List Info,8,85,,Contains the campaign listing info.  WORD gluHist.tbl inde...,Game,Map
004FFF60,Establishing shot pointers,8,65,,64 entries defining campaign mission prologue/establishing ...,Game,Map
0050C000,cInit Constructor Function Table,4,310,,Standard C-Runtime. Generated by Visual C++.,Engine,Memory
005122A0,Campaign list pointers,4,6,,Pointer to memory location of details of first mission in S...,Game,Map
005122B8,Current Cinematic ID,4,1,,An index for the currently playing cinematic.,Game,State
005124D8,Game Speed Refresh Rate,4,7,Simple Data,Contains the value in milliseconds required for each frame....,Game,Time
005124F4,Replay Speed Refresh Rate,4,7,,Contains the time in milliseconds spent each frame. Array i...,Game,Time
00512510,Image Update Functions,8,18,,An array of image functions. The array is officially called...,Client,Render
005125A0,Image Drawing Functions,12,18,,This corresponds to a value in images.dat. The official nam...,Client,Render
00512678,Active Nation ID,4,1,Backed By Code,This is the same as Human ID unless you are playing Team Me...,Player,Metadata
0051267C,Active Human ID,4,1,Backed By Code,This is your player ID. The official name for this is g_Act...,Player,Metadata
00512680,Active Storm ID,4,1,Unsupported,"This is your active storm ID, which is different from your ...",Player,Metadata
00512684,Local Nation ID,4,1,Backed By Code,The official name for this is g_LocalNationID.  P1: 00 P...,Player,Metadata
00512688,Local Human ID,4,1,,The official name for this is g_LocalHumanID.,Player,Metadata
0051268C,Local Storm ID,4,1,Unsupported,The official name for this is g_LocalStormID.,Player,Metadata
00512690,Cinematic File Name Array,4,28,,Contains string pointers for the file names of all game cin...,Game,Map
00512700,Race Filename Modifiers,8,1,,"Contains 3 bytes ""ztp"" used when loading race-spe...",Game,Map
00512708,Cursor Filename Array,4,19,,Contains pointers to a string for each cursor image.,Client,UI
00512754,Cursor Scroll Type Modifiers,2,10,Unsupported,Contains the index for the cursor used for scrolling.,Client,UI
005127DC,Tileset Color Cycle Pointers,4,9,,Contains pointers to the tileset color cycle data. Array in...,Client,Render
00512800,Trigger Action Function Array,4,60,,Contains function pointers for all trigger actions.,Game,Event
00513B68,Mouse and Keyboard Scroll Speed,7,7,Supported,"Edited by PereC, 2021.04.12 For SC:R, In menu - Options -...",Client,Input
00513B68,Mouse Scroll Speed Array,7,7,Supported,Amount of Mouse Scroll Speed. Array index dependent on mous...,Client,Input
00514178,Unit Reqs data,1090,1,Simple Data,Packed list of opcodes/parameters for data requirements.  ...,Game,Rule
005145C0,Upgrade Reqs data,838,1,Simple Data,,Player,Upgrade
00514908,Research Req Data,318,1,Simple Data,%$& none  How to translate. % �?�� $ ?�국 @ �?..,Player,Upgrade
00514A48,Tech Use Req Data,688,1,Simple Data,,Player,Upgrade
00514CF8,Order Req Data,1316,1,Simple Data,,Order,Core
00515A98,Trigger Condition Function Array,4,24,,Contains function pointers for all trigger conditions.,Game,Event
